"","id","Q1","RQ1","Q2a1","Q2a2","MQ2A2_61","RQ2A2","Q2B","Q2A2_14","MQ2A2_1461","RQ2A2_14","Q3","Q3B1","Q3B2","Q3B3","Q4A01","Q4A02","Q4A03","Q4A04","Q4A05","Q4A06","Q4A07","Q4A08","Q4A09","Q4A10","Q4A11","Q4A12","Q4A13","Q4A14","Q4A15","Q4A16","Q4A17","Q5A01","Q5A02","Q5A03","Q5A04","Q5A05","Q5A06","Q5A07","Q5A08","Q5A09","Q5A10","Q5A11","Q5A12","Q5A13","Q5A14","Q5A15","Q5A16","Q5A17","KWON1","KWON2","KWON3","KWON4","KWON5","KWON6","KWON7","KWON8","총액1인TOT","총액1인MIS","C총액1인TOT","DAY평균T","DAY평균","RDAY평균","Q7","Q8","Q9","D_MON","D_BUN","D_NAT","D_SEX","D_AGE","D_MOK","D_ENT","D_PLA","D_Q1","D_TYP"
"2225",10594,4,"4회 이상",119,120,NA,"91일 이상","포함된 일정이다",106,NA,"91일 이상","교육",NA,NA,NA,NA,"쇼핑","자연경관 감상","고궁/역사 유적지 방문",NA,"박물관, 전시관 관람",NA,"드라마/영화 촬영지 방문",NA,"지역 축제 참여",NA,"뷰티/의료관광",NA,NA,"연수/교육/연구",NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,NA,"경남","대구",NA,"부산",NA,NA,NA,NA,"서울",NA,NA,NA,NA,"경상도",NA,NA,2657.43,2657.43,"2000$ 초과- 3000$ 이하",22.14525,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","태국","여성","21-30세","교육","자가격리포함","인천공항T2","4회이상","    개   별    여   행"
"2226",10595,3,"3회",160,161,NA,"91일 이상","포함된 일정이다",147,NA,"91일 이상","교육",NA,NA,NA,NA,"쇼핑",NA,NA,NA,"박물관, 전시관 관람",NA,NA,NA,NA,"유흥/오락",NA,NA,NA,"연수/교육/연구",NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"부산",NA,NA,NA,NA,"서울",NA,NA,NA,NA,"경상도",NA,NA,2657.43,2657.43,"2000$ 초과- 3000$ 이하",16.5057763975155,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","태국","남성","21-30세","교육","자가격리포함","인천공항T2","3회","    개   별    여   행"
"2227",10598,1,"1회",329,330,NA,"91일 이상","포함된 일정이다",316,NA,"91일 이상","교육",NA,NA,NA,NA,"쇼핑",NA,"고궁/역사 유적지 방문","전통문화체험",NA,NA,NA,NA,NA,NA,"뷰티/의료관광",NA,NA,"연수/교육/연구",NA,NA,"서울",NA,"인천",NA,NA,NA,NA,NA,NA,"경남",NA,NA,"부산",NA,NA,NA,NA,"서울",NA,"인천",NA,NA,"경상도",NA,NA,12219,NA,"10000$ 초과",37.0272727272727,NA,NA,"④ 대체로 만족","④ 대체로 그렇다","⑤ 매우 그렇다","6월","2분기","독일","여성","21-30세","교육","자가격리포함","인천공항T2","1회","    개   별    여   행"
"2228",10602,2,"2회",180,181,NA,"91일 이상","포함된 일정이다",167,NA,"91일 이상","교육",NA,NA,NA,"식도락 관광","쇼핑","자연경관 감상","고궁/역사 유적지 방문",NA,"박물관, 전시관 관람",NA,NA,NA,NA,"유흥/오락",NA,NA,NA,"연수/교육/연구",NA,NA,"서울",NA,NA,"강원",NA,NA,NA,NA,NA,NA,NA,NA,"부산",NA,NA,NA,NA,"서울",NA,NA,"강원도",NA,"경상도",NA,NA,7600,7600,"5000$ 초과- 10000$ 이하",41.9889502762431,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","기타","여성","21-30세","교육","자가격리포함","인천공항T1","2회","    개   별    여   행"
"2229",10610,1,"1회",300,301,NA,"91일 이상","포함된 일정이다",287,NA,"91일 이상","교육",NA,NA,NA,NA,"쇼핑",NA,"고궁/역사 유적지 방문",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"연수/교육/연구",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"광주",NA,NA,NA,NA,NA,NA,NA,NA,NA,"전라도",NA,4887.6,4887.6,"3000$ 초과- 5000$ 이하",16.2378737541528,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","④ 대체로 그렇다","6월","2분기","프랑스","여성","21-30세","교육","자가격리포함","인천공항T1","1회","    개   별    여   행"
"2230",10611,2,"2회",39,40,40,"31~60일","포함된 일정이다",26,26,"11~30일","사업 또는 전문활동",NA,NA,NA,NA,"쇼핑",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"업무수행",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"대구",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"경상도",NA,NA,5987.31,5987.31,"5000$ 초과- 10000$ 이하",149.68275,149.68275,"100$ 초과 ~ 300$ 이하","④ 대체로 만족","③ 보통","④ 대체로 그렇다","6월","2분기","기타","남성","51-60세","사업또는전문활동","자가격리포함","인천공항T1","2회",NA
"2231",10619,1,"1회",90,91,NA,"91일 이상","포함된 일정이다",77,NA,"61~90일","사업 또는 전문활동",NA,NA,NA,NA,"쇼핑",NA,"고궁/역사 유적지 방문",NA,NA,NA,NA,NA,NA,NA,NA,NA,"업무수행",NA,NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"광주",NA,NA,NA,"서울",NA,NA,NA,NA,NA,"전라도",NA,4000,4000,"3000$ 초과- 5000$ 이하",43.956043956044,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","기타","여성","31-40세","사업또는전문활동","자가격리포함","인천공항T1","1회",NA
"2232",10620,2,"2회",210,211,NA,"91일 이상","포함된 일정이다",197,NA,"91일 이상","교육",NA,NA,NA,NA,"쇼핑","자연경관 감상","고궁/역사 유적지 방문",NA,"박물관, 전시관 관람",NA,NA,NA,NA,NA,NA,NA,NA,"연수/교육/연구",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"광주",NA,NA,NA,NA,NA,NA,NA,NA,NA,"전라도",NA,7331.4,7331.4,"5000$ 초과- 10000$ 이하",34.745971563981,NA,NA,"⑤ 매우 만족","④ 대체로 그렇다","④ 대체로 그렇다","6월","2분기","기타","여성","21-30세","교육","자가격리포함","인천공항T1","2회","    개   별    여   행"
"2233",10627,4,"4회 이상",65,66,NA,"61~90일","포함된 일정이다",52,52,"31~60일","사업 또는 전문활동",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"업무수행",NA,NA,NA,NA,NA,NA,NA,"대전",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"충청도",NA,NA,NA,8500,8500,"5000$ 초과- 10000$ 이하",128.787878787879,NA,NA,"③ 보통","③ 보통","③ 보통","6월","2분기","인도","남성","31-40세","사업또는전문활동","자가격리포함","인천공항T1","4회이상",NA
"2234",10634,3,"3회",80,81,NA,"61~90일","포함된 일정이다",67,NA,"61~90일","사업 또는 전문활동",NA,NA,NA,NA,"쇼핑","자연경관 감상",NA,NA,NA,NA,NA,NA,NA,"유흥/오락",NA,NA,"업무수행",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"경남",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"경상도",NA,NA,9600,9600,"5000$ 초과- 10000$ 이하",118.518518518519,NA,NA,"⑤ 매우 만족","③ 보통","⑤ 매우 그렇다","6월","2분기","중동","남성","41-50세","사업또는전문활동","자가격리포함","인천공항T1","3회",NA
"2235",10661,10,"4회 이상",329,330,NA,"91일 이상","포함된 일정이다",316,NA,"91일 이상","친구/친지 방문","기타",NA,NA,"식도락 관광","쇼핑",NA,NA,NA,NA,NA,NA,NA,NA,NA,"뷰티/의료관광",NA,NA,NA,NA,NA,NA,"경기",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"경기도",NA,NA,NA,NA,NA,NA,5314.86,5314.86,"5000$ 초과- 10000$ 이하",16.1056363636364,NA,NA,"⑤ 매우 만족","④ 대체로 그렇다","④ 대체로 그렇다","6월","2분기","중국","남성","41-50세","친구/친지방문","자가격리포함","인천공항T1","4회이상",NA
"2236",10664,3,"3회",329,330,NA,"91일 이상","포함된 일정이다",316,NA,"91일 이상","친구/친지 방문","패션, 유행 등 세련된 현대 문화 체험","음식/미식 탐방",NA,"식도락 관광",NA,"자연경관 감상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울","경기",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울","경기도",NA,NA,NA,NA,NA,NA,10629.72,NA,"10000$ 초과",32.2112727272727,NA,NA,"⑤ 매우 만족","④ 대체로 그렇다","④ 대체로 그렇다","6월","2분기","중국","여성","31-40세","친구/친지방문","자가격리포함","인천공항T1","3회",NA
"2237",10666,5,"4회 이상",299,300,NA,"91일 이상","포함된 일정이다",286,NA,"91일 이상","친구/친지 방문","패션, 유행 등 세련된 현대 문화 체험",NA,NA,"식도락 관광",NA,"자연경관 감상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"충남",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"충청도",NA,NA,NA,4429.05,4429.05,"3000$ 초과- 5000$ 이하",14.7635,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","중국","남성","15-20세","친구/친지방문","자가격리포함","인천공항T1","4회이상",NA
